platform,account_id,content_type,publish_time,views,impressions,likes,comments,shares,favorites,followers,source_type
WECHAT_OFFICIAL,demo-wechat_official,OPINION,2026-04-13 16:00,4792,6188,68,9,8,15,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,KNOWLEDGE,2026-04-14 16:00,3906,4422,57,8,4,11,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,LIFESTYLE,2026-04-15 02:00,1605,2050,9,1,0,2,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-04-17 12:30,8382,10493,112,14,4,36,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,KNOWLEDGE,2026-04-20 17:00,3297,4448,28,4,2,8,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,OPINION,2026-04-22 20:30,9254,10927,118,9,15,52,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,LIFESTYLE,2026-04-26 09:00,2355,3059,17,2,1,2,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,TUTORIAL,2026-04-26 12:30,8265,8816,124,20,15,40,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-04-29 12:00,6043,6672,185,11,11,63,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-04-29 20:30,9750,11862,187,30,17,42,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,OPINION,2026-04-30 09:00,5522,7017,60,7,2,13,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,TUTORIAL,2026-05-03 08:00,4477,6191,62,7,2,11,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,TUTORIAL,2026-05-04 02:00,1086,1162,5,0,0,2,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,TUTORIAL,2026-05-04 12:00,4662,5001,110,12,13,37,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,TUTORIAL,2026-05-05 09:30,5944,7755,63,11,6,18,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-05-07 12:30,11096,13931,388,50,21,87,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-05-14 07:00,6229,8242,137,14,10,24,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,NEWS,2026-05-15 20:00,7969,10233,121,20,7,51,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,LIFESTYLE,2026-05-16 15:00,2537,2893,29,4,3,5,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,KNOWLEDGE,2026-05-17 12:00,3997,5565,74,9,8,12,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,LIFESTYLE,2026-05-18 10:00,5166,5770,68,8,8,30,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,TUTORIAL,2026-05-21 05:30,1230,1680,4,0,0,0,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,KNOWLEDGE,2026-05-23 10:00,4127,5504,30,4,1,5,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,LIFESTYLE,2026-05-24 20:30,6102,8436,96,7,10,35,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,TUTORIAL,2026-05-29 17:00,5228,6292,83,8,7,12,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,KNOWLEDGE,2026-05-30 02:00,1477,1892,4,0,0,1,22800,ACCOUNT_HISTORY
WECHAT_OFFICIAL,demo-wechat_official,TUTORIAL,2026-05-30 23:00,3517,3767,42,7,3,10,22800,ACCOUNT_HISTORY
